#separator:comma
#html:true
#notetype:Basic
#deck:DOM08::Project 6 Tools
#tags column:3
#columns:Front,Back,Tags
"Why use Ansible instead of a sequence of manual SSH commands?","<b>Purpose:</b> Ansible configures Docker, CloudWatch Agent, Node Exporter, Nginx/TLS, and monitoring services repeatably.<br><b>Why chosen:</b> The playbooks can be run twice to prove idempotence and can protect secret-handling tasks with no_log.<br><b>Instead of:</b> Undocumented one-off shell changes that are difficult to reproduce.<br><b>Trade-off:</b> Modules, inventory, privilege escalation, and secret output still need careful design.","dom08 project6 status::planned category::configuration tool::ansible comparison::manual_ssh"
"Why use Docker Compose instead of Kubernetes for the monitoring stack?","<b>Purpose:</b> Compose defines Prometheus, Grafana, Node Exporter, proxy, networks, volumes, and hardening on one monitoring EC2 host.<br><b>Why chosen:</b> It is sufficient for this bounded single-host lab and keeps Kubernetes explicitly out of scope.<br><b>Instead of:</b> Kubernetes, which would add cluster operations and obscure the monitoring objectives.<br><b>Trade-off:</b> Compose does not provide Kubernetes-style scheduling or multi-node high availability.","dom08 project6 status::planned category::containers tool::docker_compose comparison::kubernetes"
"Why place Nginx in front of Grafana instead of exposing Grafana, Prometheus, and Node Exporter directly?","<b>Purpose:</b> Nginx terminates approved HTTPS access to Grafana while internal services remain private.<br><b>Why chosen:</b> It creates one controlled ingress point and avoids public Prometheus, exporter, or Docker API endpoints.<br><b>Instead of:</b> Publishing every container port to the internet.<br><b>Trade-off:</b> Proxy headers, certificates, reloads, and access rules must be tested.","dom08 project6 status::planned category::networking tool::nginx concept::reverse_proxy"
"Why use Certbot with Cloudflare DNS-01 rather than a manual certificate or a broad HTTP challenge?","<b>Purpose:</b> Certbot obtains and renews the grafana.kheven.me certificate using a DNS challenge.<br><b>Why chosen:</b> The token can be restricted to DNS editing for only kheven.me, renewal can be automated, and no broad public challenge path is needed.<br><b>Instead of:</b> Manually renewed certificates or an HTTP-01 setup that requires an internet-reachable challenge path.<br><b>Trade-off:</b> The DNS token is powerful and must be stored securely with 0600 permissions and narrow scope.","dom08 project6 status::planned category::tls tool::certbot tool::cloudflare comparison::http01"
"Why keep the Cloudflare DNS record manual instead of adding a Cloudflare Terraform provider?","<b>Purpose:</b> The user creates the DNS-only A record after Terraform outputs the monitoring Elastic IP.<br><b>Why chosen:</b> The completion plan explicitly keeps the permanent DNS record and Cloudflare provider out of Terraform, preventing the token from entering Terraform inputs, plans, or state.<br><b>Instead of:</b> Managing Cloudflare DNS from the AWS infrastructure state.<br><b>Trade-off:</b> The DNS step is manual and must be separately verified.","dom08 project6 status::planned category::dns tool::cloudflare comparison::terraform_provider"
"Why use AWS Secrets Manager instead of putting webhook and DNS tokens in Terraform variables or Compose files?","<b>Purpose:</b> Secrets Manager stores named secret values that the instance retrieves at runtime through a scoped role.<br><b>Why chosen:</b> The values stay out of Git, Terraform configuration, plans, state, screenshots, and Docker inspection evidence.<br><b>Instead of:</b> Plain tfvars, environment files, or hard-coded Compose values.<br><b>Trade-off:</b> Retrieval permissions, rotation, service cost, and safe runtime injection must be managed.","dom08 project6 status::planned category::secrets tool::secrets_manager comparison::terraform_vars"
"Why does Grafana use a Slack incoming webhook instead of a Slack bot token?","<b>Purpose:</b> The incoming webhook sends firing and resolved alert messages to #project6-observability-alerts.<br><b>Why chosen:</b> It is enough for one-way notifications and the plan explicitly states that no bot token is required.<br><b>Instead of:</b> A more privileged bot integration with broader workspace capabilities.<br><b>Trade-off:</b> The webhook URL is still a secret and must be rotated if exposed.","dom08 project6 status::planned category::alerting tool::slack_webhook comparison::bot_token"
"Why use Trivy instead of introducing SonarQube for this lab?","<b>Purpose:</b> Trivy scans repositories, images, configuration, vulnerabilities, misconfigurations, and secrets in the existing pipeline.<br><b>Why chosen:</b> It directly covers the required container/IaC/security gates and is already part of the preserved CI/CD controls.<br><b>Instead of:</b> SonarQube, which is explicitly out of scope and focuses more broadly on code quality analysis.<br><b>Trade-off:</b> Trivy findings still need classification; scanner/setup failures are not vulnerability findings.","dom08 project6 status::planned category::security tool::trivy comparison::sonarqube"
"Why retain Jenkins instead of introducing a second CI/CD orchestrator?","<b>Purpose:</b> Jenkins runs tests, config validation, Trivy gates, immutable image publishing, strict-SSH deployment, health checks, and rollback logic.<br><b>Why chosen:</b> Project 6 builds on the verified Project 5 pipeline, so observability gates can extend a working delivery path.<br><b>Instead of:</b> Migrating to another CI system during a monitoring/security lab.<br><b>Trade-off:</b> Jenkins itself must be secured, maintained, and verified with real build evidence.","dom08 project6 status::planned category::cicd tool::jenkins concept::reuse"
"Why deploy by an immutable GHCR digest instead of a mutable image tag?","<b>Purpose:</b> GHCR stores the built image, and the pipeline deploys the exact pushed digest.<br><b>Why chosen:</b> A digest identifies one immutable artifact and supports trustworthy candidate validation and rollback.<br><b>Instead of:</b> latest or another mutable tag that can point to different bytes later.<br><b>Trade-off:</b> The pipeline must capture, propagate, and verify the digest correctly.","dom08 project6 status::planned category::supply_chain tool::ghcr concept::immutable_digest"
"Why keep both Jest and JUnit output in the pipeline?","<b>Purpose:</b> Jest runs the Node.js tests; the JUnit report gives Jenkins a standard machine-readable test artifact.<br><b>Why chosen:</b> The combination provides developer-friendly tests and reviewer-visible CI evidence.<br><b>Instead of:</b> Console-only test text with no structured Jenkins report.<br><b>Trade-off:</b> The reporter must remain compatible with the test framework and cannot replace the tests themselves.","dom08 project6 status::planned category::testing tool::jest tool::junit"
"Why resolve the Amazon Linux 2023 AMI through SSM instead of hard-coding an AMI ID?","<b>Purpose:</b> The AWS public SSM parameter supplies the appropriate current AL2023 image for the selected Region.<br><b>Why chosen:</b> AMI IDs differ by Region and become stale when hard-coded.<br><b>Instead of:</b> Copying one fixed AMI ID into Terraform.<br><b>Trade-off:</b> A moving image parameter can change future plans, so the resolved value must be reviewed.","dom08 project6 status::planned category::compute tool::ssm_parameter tool::al2023"
"Why prefer AWS Systems Manager Session Manager over public SSH where practical?","<b>Purpose:</b> Session Manager provides controlled instance access through AWS APIs and IAM.<br><b>Why chosen:</b> It can avoid a public SSH port and local private-key handling; the plan allows SSH only from an admin /32 if needed.<br><b>Instead of:</b> Broad internet-facing SSH access.<br><b>Trade-off:</b> It requires a working SSM agent, instance role, network reachability, and audited IAM access.","dom08 project6 status::planned category::access tool::session_manager comparison::ssh"
"Why use a dedicated monitoring VPC with VPC peering instead of scraping metrics over public IPs?","<b>Purpose:</b> VPC peering gives the monitoring host private routes to application metrics and Node Exporter in the application VPC.<br><b>Why chosen:</b> Prometheus and exporter endpoints remain private and security rules can be narrowly scoped.<br><b>Instead of:</b> Public metrics endpoints or a larger transit architecture for only two VPCs.<br><b>Trade-off:</b> Peering is non-transitive and needs non-overlapping CIDRs, routes on both sides, and explicit security controls.","dom08 project6 status::planned category::networking tool::vpc_peering comparison::public_metrics"
"Why keep the /metrics listener separate from the public application listener?","<b>Purpose:</b> The plan proposes a configurable private metrics listener on port 9464 while the application and /health remain public as designed.<br><b>Why chosen:</b> Network controls can expose business traffic without exposing operational metrics.<br><b>Instead of:</b> Serving /metrics on the same publicly reachable port.<br><b>Trade-off:</b> The app must start, health-check, and gracefully close two listeners.","dom08 project6 status::planned category::monitoring concept::metrics_listener security::private_endpoint"
"Why normalize the route label in http_requests_total instead of recording raw URLs?","<b>Purpose:</b> Normalized route templates group requests such as /users/:id under one bounded label value.<br><b>Why chosen:</b> This prevents high-cardinality time series and avoids leaking unbounded paths or identifiers.<br><b>Instead of:</b> Labeling every raw URL, query string, body, token, or user value.<br><b>Trade-off:</b> The normalization logic must correctly handle unknown and error routes.","dom08 project6 status::planned category::metrics concept::cardinality security::sensitive_labels"
"Why use a histogram for request duration instead of only an average latency gauge?","<b>Purpose:</b> Histogram buckets retain the latency distribution needed for histogram_quantile(0.95, ...).<br><b>Why chosen:</b> p95 reveals slow-tail behavior that an average can hide and can be aggregated across instances.<br><b>Instead of:</b> A single average or gauge with no distribution.<br><b>Trade-off:</b> Bucket boundaries must be documented and add time-series cardinality.","dom08 project6 status::planned category::metrics concept::histogram concept::p95"
"Why use rate() in PromQL for RPS instead of graphing http_requests_total directly?","<b>Purpose:</b> rate(http_requests_total[5m]) converts a monotonically increasing counter into requests per second over a window.<br><b>Why chosen:</b> The raw counter only shows the cumulative total and resets when a process restarts.<br><b>Instead of:</b> Treating the counter value itself as traffic rate.<br><b>Trade-off:</b> The window smooths short spikes, so it must match the monitoring goal.","dom08 project6 status::planned category::promql function::rate concept::rps"
"Why use histogram_quantile() for p95 latency?","<b>Purpose:</b> histogram_quantile(0.95, sum by (le) (rate(..._bucket[5m]))) estimates the 95th percentile from histogram buckets.<br><b>Why chosen:</b> It measures tail latency across aggregated request observations.<br><b>Instead of:</b> Averaging per-instance percentiles or using only mean latency.<br><b>Trade-off:</b> Accuracy depends on useful bucket boundaries.","dom08 project6 status::planned category::promql function::histogram_quantile concept::p95"
"Why use clamp_min() in the 5xx percentage query?","<b>Purpose:</b> clamp_min(total_request_rate, 0.001) prevents the denominator from reaching zero.<br><b>Why chosen:</b> It keeps the percentage query defined during no-traffic periods.<br><b>Instead of:</b> Dividing by an unguarded request rate and producing invalid or unstable results.<br><b>Trade-off:</b> The tiny floor is only a mathematical guard; the separate traffic condition decides whether alerting is meaningful.","dom08 project6 status::planned category::promql function::clamp_min concept::error_rate"
"Why does the high-error alert require at least 20 requests as well as more than 5% 5xx?","<b>Purpose:</b> The traffic guard requires sum(increase(http_requests_total[5m])) >= 20.<br><b>Why chosen:</b> One failure during very low traffic could otherwise produce a misleading high percentage.<br><b>Instead of:</b> Alerting on percentage alone.<br><b>Trade-off:</b> Very low-volume real failures may not alert until enough traffic exists.","dom08 project6 status::planned category::alerting concept::traffic_guard threshold::20"
"Why configure the >5% 5xx alert with for: 5m instead of firing immediately?","<b>Purpose:</b> for: 5m requires the condition to stay true for five minutes before firing.<br><b>Why chosen:</b> It filters brief spikes and supports observable Normal, Pending, Firing, and Resolved states.<br><b>Instead of:</b> Instant alerts that flap on short-lived errors.<br><b>Trade-off:</b> Notification is deliberately delayed for five minutes.","dom08 project6 status::planned category::alerting concept::for_duration threshold::5m"
"Why exclude /metrics scrapes from application RPS and error calculations?","<b>Purpose:</b> Prometheus repeatedly calls /metrics for telemetry collection.<br><b>Why chosen:</b> Filtering those scrapes prevents monitoring traffic from inflating business RPS or changing the error denominator.<br><b>Instead of:</b> Counting every scrape as a user request.<br><b>Trade-off:</b> The filter must be applied consistently across dashboard and alert queries.","dom08 project6 status::planned category::metrics concept::self_scrape concept::rps"
"Why use a disabled-by-default fault-injection path for the alert test?","<b>Purpose:</b> A controlled internal mechanism produces enough 5xx responses to test Pending, Firing, and Resolved states.<br><b>Why chosen:</b> It makes the >5% test repeatable without relying on accidental failures.<br><b>Instead of:</b> Breaking production behavior unpredictably or faking screenshots.<br><b>Trade-off:</b> It must be network-restricted, explicitly enabled, then disabled and proven unavailable afterward.","dom08 project6 status::planned category::testing concept::fault_injection security::disabled_by_default"
"Why run containers as non-root with dropped capabilities and read-only filesystems?","<b>Purpose:</b> These controls reduce what a compromised container can modify or do on the host.<br><b>Why chosen:</b> They enforce least privilege and preserve the existing UID/GID 10001 hardening baseline.<br><b>Instead of:</b> Default root containers with broad Linux capabilities and writable roots.<br><b>Trade-off:</b> Legitimate write paths must be provided explicitly through named volumes or tmpfs.","dom08 project6 status::planned category::containers concept::non_root concept::least_privilege"
"Why require IMDSv2 on monitoring EC2?","<b>Purpose:</b> IMDSv2 requires session-oriented metadata requests before instance credentials can be retrieved.<br><b>Why chosen:</b> It strengthens protection against several metadata-request abuse patterns compared with IMDSv1.<br><b>Instead of:</b> Leaving the legacy metadata protocol available.<br><b>Trade-off:</b> Very old software that only understands IMDSv1 may need updating.","dom08 project6 status::planned category::compute tool::imds_v2 comparison::imds_v1"
"Why use an editable Draw.io architecture diagram instead of only a screenshot?","<b>Purpose:</b> Draw.io stores an editable diagram of GitHub, Jenkins, GHCR, the application VPC, monitoring VPC, logging, audit, and alert paths.<br><b>Why chosen:</b> The submission requires a simple diagram that can be reviewed and updated as the runtime changes.<br><b>Instead of:</b> A static raster image that is harder to correct or reuse.<br><b>Trade-off:</b> The XML must stay valid and the diagram must remain uncluttered.","dom08 project6 status::planned category::documentation tool::drawio comparison::static_image"
